admin_id,Acc_id,accd_date,location,,Fatalities,registration_id,cat,Country,aircraft_id
1,1,01-01-1950,near Camden Airpo...,,2,1,A1,Australia,1
1,2,01-05-1950,Itaquaquecet...,,0,2,A1,Brazil,2
1,3,01-05-1950,Sverdlovsk-K...,,19,3,A1,Russia,3
1,4,01-06-1950,Ankara,,0,4,A1,Turkey,4
1,5,01-10-1950,near Zinder,,0,5,A1,Niger,5
1,6,01/18/1950,Yangon-Minga...,,0,6,A1,Myanmar,6
1,7,01/18/1950,near Tobarra,,16,7,A1,Spain,7
1,8,01/21/1950,near Vacas,,33,8,A1,Bolivia,8
1,9,01/22/1950,Paris-Orly A...,,0,9,O1,France,9
1,10,01/24/1950,between Iloi...,,4,10,A1,Philippines,10
1,11,01/24/1950,near Tamatave,,14,11,A1,Madagascar,10
1,12,01/25/1950,Shella Airstrip,,2,12,A1,India,10
1,13,01/26/1950,"near Snag, YT",,44,13,A1,Canada,11
1,14,01/30/1950,Le Treport,,0,14,U1,France,5
1,15,01/30/1950,near Whitehorse A...,,0,15,A1,Canada,12
1,16,01/31/1950,near La Tinta,,0,16,A1,Guatemala,12
1,17,02-01-1950,Southampton,,0,17,A1,U.K.,13
1,18,02-01-1950,Mount Clemen...,,0,18,A1,USA,14
1,19,02-02-1950,near Dutch coast ...,,7,19,A1,Atlantic Ocean,10
1,20,02-03-1950,Calshot RAF ...,,0,20,O1,U.K.,15
1,21,02-04-1950,near Roosevelt Ro...,,3,21,A1,Puerto Rico,16
1,22,02-05-1950,Maracaibo,,0,22,A2,Venezuela,17
1,23,02-05-1950,Lydda Airpor...,,0,23,A1,Israel,18
1,24,02-06-1950,near Cali,,4,24,A1,Colombia,19
1,25,02-07-1950,"near Pon Lake, YT",,0,25,A1,Canada,16
1,26,02-07-1950,"Evans Bay, W...",,0,26,A1,New Zealand,20
1,27,02-09-1950,Tokyo-Haneda...,,0,27,A1,Japan,21
1,28,02-09-1950,"near Raynesford, MT",,3,28,A1,USA,22
1,29,02-10-1950,Los Angeles ...,,0,29,A1,USA,16
1,30,02-12-1950,"Lagoa Páti, ...",,0,30,A1,Mozambique,23
1,31,02/16/1950,Cotonou Airp...,,0,31,A1,Benin,24
1,32,02/21/1950,"near Campoalegre,...",,0,32,A1,Colombia,19
1,33,02/27/1950,Praded Mountain,,6,33,A1,Czech Rep.,10
1,34,02/28/1950,"near Snag, YT",,0,34,A1,Canada,25
1,35,03-01-1950,Medellín-Enr...,,2,35,A1,Colombia,8
1,36,03-01-1950,Harrisburg-O...,,0,36,A1,USA,26
1,37,03-07-1950,near Minneapolis-...,,15,37,A1,USA,27
1,38,03-10-1950,near Saigon,,4,38,A1,Vietnam,28
1,39,03-11-1950,"Hope, AR",,1,39,A1,USA,12
1,40,03-11-1950,Ipiales Airp...,,0,40,A1,Colombia,8
1,41,03-12-1950,near Llandow,,80,41,A1,U.K.,29
1,42,03/16/1950,Iringa-Nduli...,,0,42,A1,Tanzania,25
1,43,03/21/1950,near Cowbridge,,4,43,A1,U.K.,28
1,44,03/21/1950,Smyrna-Sewar...,,0,44,O1,USA,14
1,45,03/23/1950,Rome-Griffis...,,2,45,A1,USA,16
1,46,03/25/1950,near Ankara-Etime...,,15,46,A1,Turkey,10
1,47,03/25/1950,Lae Airfield,,3,47,A1,P.N. Guinea,1
1,48,03/26/1950,Singapore-Se...,,2,48,O1,Singapore,30
1,49,03/28/1950,,,0,49,U1,Poland,10
1,50,03/28/1950,near Komaki Air B...,,3,50,A1,Japan,12
