admin_id,aircraft_id,type,Manufacturer,Military / Commercial
1,1,Lockheed 414-08 Hudson IVA,Lockheed ,C
1,2,Curtiss C-46A,Curtiss ,C
1,3,Lisunov Li-2,Lisunov ,M
1,4,Douglas VC-47A (DC-3),Douglas ,M
1,5,Douglas C-47B (DC-3),Douglas ,C
1,6,Douglas DC-3,Douglas ,C
1,7,CASA 352 (Ju-52),CASA ,M
1,8,Douglas C-47 (DC-3),Douglas ,C
1,9,Douglas DC-4-1009,Douglas ,C
1,10,Douglas C-47A (DC-3),Douglas ,C
1,11,Douglas C-54D (DC-4),Douglas ,C
1,12,Douglas C-47B (DC-3),Douglas ,M
1,13,Shorts S.45 Solent 3,Short ,C
1,14,Fairchild C-82A Packet,Fairchild ,M
1,15,Short Sunderland GR.5,Short ,M
1,16,Douglas C-47D,Douglas ,M
1,17,Curtiss C-46D,Curtiss ,C
1,18,Douglas C-54A (DC-4),Douglas ,C
1,19,Douglas C-47 (DC-3),Douglas ,M
1,20,PB2B-1 Catalina,Catalina,M
1,21,Canadair C-4-1 North Star,Canadair ,C
1,22,Douglas C-54E (DC-4),Douglas ,M
1,23,Junkers Ju-52/3m,Junkers ,C
1,24,Douglas DC-3A,Douglas ,C
1,25,Douglas Dakota IV (DC-3),Douglas ,M
1,26,Curtiss C-46A,Curtiss ,M
1,27,Martin 2-0-2,Martin ,C
1,28,Bristol 170 Freighter 21,Bristol ,C
1,29,Avro 689 Tudor 5,Avro ,C
1,30,Short S.25 Sunderland GR.5,Short ,M
1,31,Douglas C-47D (DC-3),Douglas ,M
1,32,Douglas C-47A (DC-3),Douglas ,M
1,33,Latécoère 631,Latécoère ,M
1,34,Lisunov Li-2T,Lisunov ,C
1,35,Martin JRM-3 Mars,Martin ,M
1,36,Lisunov Li-2,Lisunov ,C
1,37,Consolidated PBY-5 Catalina,Consolidated ,C
1,38,Vickers 610 Viking 1B,Vickers ,C
1,39,Douglas TS-62 (DC-3),Douglas ,C
1,40,Douglas C-54D (DC-4),Douglas ,M
1,41,Focke-Wulf Fw 200C-4,Focke-Wulf ,C
1,42,Curtiss C-46,Curtiss ,C
1,43,Douglas Dakota III (DC-3),Douglas ,M
1,44,Consolidated PBY-5A Catalina,Consolidated ,M
1,45,Lockheed XP2V-1 Neptune,Lockheed ,M
1,46,Short S.25 Sandringham 6,Short ,C
1,47,Grumman G-73 Mallard,Grumman ,C
1,48,Lockheed P2V-2 Neptune,Lockheed ,M
