registration,admin_id,aircraft_id,operator,registration_id
VH-SMK,1,1,John Fairfax & Sons,14079
PP-XBW,1,2,Comp. Itaú de Transportes Aéreos,12335
42 red,1,3,Soviet AF,780
42-93509,1,4,USAF,843
F-BEFQ,1,5,Air Nolis,6127
PI-C184,1,6,Trans Asiatic Airlines,11802
T.2-143,1,7,Spanish AF,13424
TAM-10,1,8,TAM,13497
F-BBDB,1,9,Air France,6104
PI-C22,1,10,Philippine Air Lines,11804
F-BFGD,1,10,STA,6152
VT-CPQ,1,10,"Air Services of India, opb Airways (India)",14290
42-72469,1,11,USMC,815
F-BEIH,1,5,Air Nolis,6134
45-1015,1,12,USAF,1111
45-1113,1,12,USAF,1119
G-AHIX,1,13,BOAC,6547
44-22986,1,14,USAF,1053
PH-TEU,1,10,KLM,11783
PP118,1,15,RAF,12347
43-49143,1,16,USAF,997
YV-C-AQE?,1,17,T.A. Transandino,15235
4X-ACD,1,18,El Al,1289
FAC-665,1,19,Colombian AF,6454
45-1037,1,16,USAF,1112
NZ4051,1,20,New Zealand AF,11345
CF-CPR,1,21,Canadian Pacific,4993
44-9091,1,22,USAF,1106
43-48457,1,16,USAF,953
CR-AAJ,1,23,DETA,5323
F-BAOD,1,24,Air France,6088
FAC-664,1,19,Colombian AF,6453
OK-WDY,1,10,CSA,11549
KJ936,1,25,RCAF,7894
HK-507,1,8,SAM,7429
42-107320,1,26,USAF,795
NC93050,1,27,Northwest Orient Airlines,11339
F-BECR,1,28,SITA,6124
43-48464,1,12,USAF,955
HK-123,1,8,Avianca,7197
G-AKBY,1,29,Fairflight,6571
KN300,1,25,RAF,7901
G-AHJJ,1,28,Bristol,6548
45-57752,1,14,USAF,1134
43-48940,1,16,USAF,977
TC-BAL,1,10,DHY,13547
VH-BDN,1,1,"Fawcett Aviation Service, op.for Mandated Airines",13971
SZ573,1,30,RAF,13343
SP-LCC,1,10,LOT,13125
43-49915,1,12,USAF,1047
44-77292,1,16,USAF,1081
45-1065,1,31,USAF,1113
43-15557,1,32,USAF,876
F-WANU,1,33,SEMAF,6378
SP-LBA,1,34,LOT,13120
VT-CJD,1,10,Deccan Airways,14277
76822,1,35,US Navy,2459
CCCP-L4411,1,36,"Aeroflot, Ukraine",4908
VP-BAO,1,37,Caribbean International,14136
43-48102,1,32,USAF,930
45-57798,1,14,USAF,1140
G-AIVL,1,38,BEA,6565
1706,1,15,South African AF,427
HK-309,1,8,LANSA,7333
CCCP-L862,1,39,"Aeroflot, East Siberia",4950
VT-CGM,1,10,Bharat Airways,14272
42-72704,1,40,USAF,828
CCCP-N500,1,41,"GUSMP, Directorate of Polar Aviation",4960
CB-51,1,42,LAB,3854
KG317,1,43,RCAF,7890
42-72597,1,40,USAF,822
45-954,1,12,USAF,1157
F-OAFP,1,10,French High Commissioner,6333
HK-120,1,8,Avianca,7191
KN543,1,25,RAF,7904
45-1112,1,12,USAF,1118
A24-105,1,44,RAAF,2999
48238,1,45,US Navy,1204
LN-IAU,1,46,DNL,7959
VT-CHB,1,10,Airways (India),14274
43-49496,1,16,USAF,1021
43-49267,1,16,USAF,1007
HK-307,1,10,LANSA,7330
N2941,1,47,Ford Motor Co.,9052
39334,1,48,US Navy,732
PP-SRV,1,5,VASP,12302
VX497,1,49,RAF,14476
N9406H,1,50,"Regina Cargo Airlines, lsf USAF",11152
PP-AVZ,1,8,Aerovias Brasil,12142
KN679,1,25,RAF,7908
122454,1,48,US Navy,119
MW164,1,51,RAF,8225
N1248N,1,52,Westair Transport,8412
N16030,1,53,New Tribes Mission,8594
43-48477,1,16,USAF,957
LV-ACL,1,10,Aerolineas Argentinas,7999
F-BBDE,1,9,Air France,6105
F-BBDM,1,9,Air France,6106
N74170,1,50,"Pan Am, lsf USAF",10454
43-48885,1,12,USAF,970
N95425,1,54,Northwest Orient Airlines,11201
42-72648,1,40,USAF,824
VH-ANA,1,9,ANA,13958
CCCP-N488,1,55,Polyarnaya Aviatsiya,4956
49-134,1,56,USAF,1219
48-338,1,57,USAF,1194
YV-C-ARG,1,8,RANSA,15239
F-WAVA,1,58,SNCASE,6379
45-518,1,59,USAF,1129
6518,1,60,Brazilian AF,2322
F-BFGL,1,10,Aigle Azur,6153
45-890,1,12,USAF,1147
VT-ATS,1,10,Indian National Airways,14235
CR-LBK,1,10,DTA,5327
