accident_id,admin_id,accd_date,location,Fatalities,registration_id,cat,Country,aircraft_id
1,1,01-01-1950,near Camden Airpo�,2,14079,A1,Australia,1
2,1,01-05-1950,Itaquaquecet...,0,12335,A1,Brazil,2
3,1,01-05-1950,Sverdlovsk-K...,19,780,A1,Russia,3
4,1,01-06-1950,Ankara,0,843,A1,Turkey,4
5,1,01-10-1950,near Zinder,0,6127,A1,Niger,5
6,1,01/18/1950,Yangon-Minga...,0,11802,A1,Myanmar,6
7,1,01/18/1950,near Tobarra,16,13424,A1,Spain,7
8,1,01/21/1950,near Vacas,33,13497,A1,Bolivia,8
9,1,01/22/1950,Paris-Orly A...,0,6104,O1,France,9
10,1,01/24/1950,between Iloi...,4,11804,A1,Philippines,10
11,1,01/24/1950,near Tamatave,14,6152,A1,Madagascar,10
12,1,01/25/1950,Shella Airstrip,2,14290,A1,India,10
13,1,01/26/1950,"near Snag, YT",44,815,A1,Canada,11
14,1,01/30/1950,Le Treport,0,6134,U1,France,5
15,1,01/30/1950,near Whitehorse A...,0,1111,A1,Canada,12
16,1,01/31/1950,near La Tinta,0,1119,A1,Guatemala,12
17,1,02-01-1950,Southampton,0,6547,A1,U.K.,13
18,1,02-01-1950,Mount Clemen...,0,1053,A1,USA,14
19,1,02-02-1950,near Dutch coast ...,7,11783,A1,Atlantic Ocean,10
20,1,02-03-1950,Calshot RAF ...,0,12347,O1,U.K.,15
21,1,02-04-1950,near Roosevelt Ro...,3,997,A1,Puerto Rico,16
22,1,02-05-1950,Maracaibo,0,15235,A2,Venezuela,17
23,1,02-05-1950,Lydda Airpor...,0,1289,A1,Israel,18
24,1,02-06-1950,near Cali,4,6454,A1,Colombia,19
25,1,02-07-1950,"near Pon Lake, YT",0,1112,A1,Canada,16
26,1,02-07-1950,"Evans Bay, W...",0,11345,A1,New Zealand,20
27,1,02-09-1950,Tokyo-Haneda...,0,4993,A1,Japan,21
28,1,02-09-1950,"near Raynesford, MT",3,1106,A1,USA,22
29,1,02-10-1950,Los Angeles ...,0,953,A1,USA,16
30,1,02-12-1950,"Lagoa Páti, ...",0,5323,A1,Mozambique,23
31,1,02/16/1950,Cotonou Airp...,0,6088,A1,Benin,24
32,1,02/21/1950,"near Campoalegre,...",0,6453,A1,Colombia,19
33,1,02/27/1950,Praded Mountain,6,11549,A1,Czech Rep.,10
34,1,02/28/1950,"near Snag, YT",0,7894,A1,Canada,25
35,1,03-01-1950,Medellín-Enr...,2,7429,A1,Colombia,8
36,1,03-01-1950,Harrisburg-O...,0,795,A1,USA,26
37,1,03-07-1950,near Minneapolis-...,15,11339,A1,USA,27
38,1,03-10-1950,near Saigon,4,6124,A1,Vietnam,28
39,1,03-11-1950,"Hope, AR",1,955,A1,USA,12
40,1,03-11-1950,Ipiales Airp...,0,7197,A1,Colombia,8
41,1,03-12-1950,near Llandow,80,6571,A1,U.K.,29
