admin_id,registration_id,Manufacturer,registration,aircraft_id
1,13641,Lockheed ,VH-SMK,1
1,6405,Curtiss ,PP-XBW,2
1,12572,Lisunov ,42 red,3
1,7900,Douglas ,42-93509,4
1,8729,Douglas ,F-BEFQ,5
1,9615,Douglas ,PI-C184,6
1,4755,CASA ,T.2-143,7
1,9823,Douglas ,TAM-10,8
1,8717,Douglas ,F-BBDB,9
1,9616,Douglas ,PI-C22,10
1,8746,Douglas ,F-BFGD,10
1,9972,Douglas ,VT-CPQ,10
1,7872,Douglas ,42-72469,11
1,8733,Douglas ,F-BEIH,5
1,8136,Douglas ,45-1015,12
1,8144,Douglas ,45-1113,12
1,14313,Short ,G-AHIX,13
1,10428,Fairchild ,44-22986,14
1,9606,Douglas ,PH-TEU,10
1,14384,Short ,PP118,15
1,8049,Douglas ,43-49143,16
1,6438,Curtiss ,YV-C-AQE?,17
1,8194,Douglas ,4X-ACD,18
1,8804,Douglas ,FAC-665,19
1,8137,Douglas ,45-1037,16
1,5004,Catalina,NZ4051,20
1,4856,Canadair ,CF-CPR,21
1,8133,Douglas ,44-9091,22
1,8005,Douglas ,43-48457,16
1,12072,Junkers ,CR-AAJ,23
1,8710,Douglas ,F-BAOD,24
1,8803,Douglas ,FAC-664,19
1,9576,Douglas ,OK-WDY,10
1,9099,Douglas ,KJ936,25
1,9011,Douglas ,HK-507,8
1,6070,Curtiss ,42-107320,26
1,13746,Martin ,NC93050,27
1,4027,Bristol ,F-BECR,28
1,8007,Douglas ,43-48464,12
1,8929,Douglas ,HK-123,8
1,1959,Avro ,G-AKBY,29
1,9105,Douglas ,KN300,25
1,4035,Bristol ,G-AHJJ,28
1,10434,Fairchild ,45-57752,14
1,8029,Douglas ,43-48940,16
1,9842,Douglas ,TC-BAL,10
1,13638,Lockheed ,VH-BDN,1
1,14402,Short ,SZ573,30
1,9772,Douglas ,SP-LCC,10
1,8099,Douglas ,43-49915,12
1,8130,Douglas ,44-77292,16
1,8138,Douglas ,45-1065,31
1,7928,Douglas ,43-15557,32
1,12118,Latécoère ,F-WANU,33
1,12694,Lisunov ,SP-LBA,34
1,9960,Douglas ,VT-CJD,10
1,13700,Martin ,76822,35
1,12637,Lisunov ,CCCP-L4411,36
1,5806,Consolidated ,VP-BAO,37
1,7982,Douglas ,43-48102,32
1,10440,Fairchild ,45-57798,14
1,15011,Vickers ,G-AIVL,38
1,14285,Short ,1706,15
1,8985,Douglas ,HK-309,8
1,8505,Douglas ,CCCP-L862,39
1,9955,Douglas ,VT-CGM,10
1,7885,Douglas ,42-72704,40
1,10755,Focke-Wulf ,CCCP-N500,41
1,6133,Curtiss ,CB-51,42
1,9095,Douglas ,KG317,43
1,7879,Douglas ,42-72597,40
1,8169,Douglas ,45-954,12
1,8771,Douglas ,F-OAFP,10
1,8924,Douglas ,HK-120,8
1,9108,Douglas ,KN543,25
1,8143,Douglas ,45-1112,12
1,5732,Consolidated ,A24-105,44
1,12967,Lockheed ,48238,45
1,14332,Short ,LN-IAU,46
1,9957,Douglas ,VT-CHB,10
1,8073,Douglas ,43-49496,16
1,8059,Douglas ,43-49267,16
1,8983,Douglas ,HK-307,10
1,11254,Grumman ,N2941,47
1,12943,Lockheed ,39334,48
1,9727,Douglas ,PP-SRV,5
1,15214,Vickers ,VX497,49
1,6357,Curtiss ,N9406H,50
1,9672,Douglas ,PP-AVZ,8
1,9112,Douglas ,KN679,25
1,12714,Lockheed ,122454,48
1,1984,Avro ,MW164,51
1,6286,Curtiss ,N1248N,52
1,9200,Douglas ,N16030,53
1,8009,Douglas ,43-48477,16
1,9142,Douglas ,LV-ACL,10
1,8718,Douglas ,F-BBDE,9
1,8719,Douglas ,F-BBDM,9
1,6345,Curtiss ,N74170,50
1,8022,Douglas ,43-48885,12
1,9526,Douglas ,N95425,54
1,7881,Douglas ,42-72648,40
1,9889,Douglas ,VH-ANA,9
1,5741,Consolidated ,CCCP-N488,55
1,10461,Fairchild ,49-134,56
1,10447,Fairchild ,48-338,57
1,10137,Douglas ,YV-C-ARG,8
1,14465,Sud Aviation,F-WAVA,58
1,8154,Douglas ,45-518,59
1,5728,Consolidated ,6518,60
1,8747,Douglas ,F-BFGL,10
1,8159,Douglas ,45-890,12
1,9924,Douglas ,VT-ATS,10
1,8617,Douglas ,CR-LBK,10
1,14389,Short ,PP164,15
1,11905,Ilyushin ,CCCP-L1340,61
1,10443,Fairchild ,45-57831,14
1,6079,Curtiss ,44-77577,62
1,4757,CASA ,T.2-167,7
1,9137,Douglas ,LR-AAN,10
1,8112,Douglas ,44-76439,16
1,13593,Lockheed ,PP-PCG,63
1,4028,Bristol ,F-BENF,28
1,7884,Douglas ,42-72700,40
1,9572,Douglas ,OK-WAB,64
1,6339,Curtiss ,N67960,50
1,14448,Sud Aviation,F-BCUI,65
1,11928,Ilyushin ,CCCP-L1803,66
1,13600,Lockheed ,PP-SAA,67
1,11407,Handley ,TG583,68
1,10429,Fairchild ,44-23021,14
1,8063,Douglas ,43-49278,16
1,6069,Curtiss ,39566,69
1,9575,Douglas ,OK-WDV,10
1,11921,Ilyushin ,CCCP-L1706,61
1,12619,Lisunov ,CCCP-H955,36
1,12719,Lockheed ,122940,70
1,9508,Douglas ,N90705,71
1,8808,Douglas ,FAC-670,19
1,8148,Douglas ,45-1126,12
1,9109,Douglas ,KN630,25
1,5720,Consolidated ,48411,44
1,8921,Douglas ,HK-116,8
1,9103,Douglas ,KN240,25
1,13473,Lockheed ,N6004C,72
1,10468,Fairchild ,49-163,56
1,9213,Douglas ,N18936,73
